"name","franchID","W","L","park","attendance","yearID","games","win.perc","Capacity","Attend.G","Att.perc"
"Cleveland Indians","CLE",80,82,"Progressive Field",1840835,2011,162,0.494,37630,22726,0.604
"Colorado Rockies","COL",73,89,"Coors Field",2909777,2011,162,0.451,50398,35923,0.713
"Detroit Tigers","DET",95,67,"Comerica Park",2642045,2011,162,0.586,41574,32618,0.785
"Florida Marlins","MIA",72,90,"Pro Player Stadium",1477462,2011,162,0.444,47972,18240,0.38
"Houston Astros","HOU",56,106,"Minute Maid Park",2067016,2011,162,0.346,41574,25519,0.614
"Kansas City Royals","KCR",71,91,"Kauffman Stadium",1724450,2011,162,0.438,38177,21290,0.558
"Los Angeles Angels of Anaheim","LAA",86,76,"Angel Stadium",3166321,2011,162,0.531,45493,39090,0.859
"Los Angeles Dodgers","LAD",82,79,"Dodger Stadium",2935139,2011,161,0.509,56000,36461,0.651
"Milwaukee Brewers","MIL",96,66,"Miller Park",3071373,2011,162,0.593,41900,37918,0.905
"Minnesota Twins","MIN",63,99,"Target Field",3168116,2011,162,0.389,42000,39113,0.931
"New York Yankees","NYY",97,65,"Yankee Stadium New",3653680,2011,162,0.599,52355,45107,0.862
"New York Mets","NYM",77,85,"Citi Field",2352596,2011,162,0.475,45000,29044,0.645
"Oakland Athletics","OAK",74,88,"Oakland Coliseum",1476791,2011,162,0.457,35067,18232,0.52
"Philadelphia Phillies","PHI",102,60,"Citizens Bank Park",3680718,2011,162,0.63,43826,45441,1.037
"Pittsburgh Pirates","PIT",72,90,"PNC Park",1940429,2011,162,0.444,38496,23956,0.622
"San Diego Padres","SDP",71,91,"Petco Park",2143018,2011,162,0.438,41164,26457,0.643
"Seattle Mariners","SEA",67,95,"Safeco Field",1939421,2011,162,0.414,47116,23943,0.508
"San Francisco Giants","SFG",86,76,"AT&T Park",3387303,2011,162,0.531,41915,41819,0.998
"St. Louis Cardinals","STL",90,72,"Busch Stadium III",3093954,2011,162,0.556,46200,38197,0.827
"Tampa Bay Rays","TBR",91,71,"Tropicana Field",1529188,2011,162,0.562,31042,18879,0.608
"Texas Rangers","TEX",96,66,"Rangers Ballpark in Arlington",2946949,2011,162,0.593,48911,36382,0.744
"Toronto Blue Jays","TOR",81,81,"Skydome",1818103,2011,162,0.5,50516,22446,0.444
